Address,Committed Algo Amount,Committed Algo
EPYLSPIP3OOKRBFFWKZJWDSPGCYEKUPYBB677GWC2TFYTMU6QP3JZ7OMOQ,156579386168863,156579386.17
PZ7TILKNWVGJTAWF7YSBYDHT44SN6NQJXHI55ODGJXGXHGB64BH6MBDGFY,94171278000000,94171278
BSHYYRGWL542KR5AHOSZ3SEROTUJQTBOUGUHU6ZYNOZSJDBHLBCCM2YPE4,92150000000000,92150000
SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA,78261032000000,78261032
WHX7TIJ7Y3D36R5YKPDLOQVCQZZCSY756UZCERM6MTUBXDOQDMMUCYBZXM,77000000000000,77000000
2R5FTTVDIAQ55I5SPW5BE6R2SVYY45O5W64XGIVBLHQYWMZARRXTO4VIHQ,70000000000000,70000000
EDFLHVE46UHWZCP5AVB4LT4HABWGRPFH55SOMTF62HBMJQXW43HM2A6MCM,61791422596226,61791422.6
IP4VANJXIAUVMKYS3QJZUHG4BC32RWWFQP57IPCNCAL4LAP53XTLM4TPSY,58411186304081,58411186.3
CBOQNBM6PCBHVGFQV5OJ4LLILJPEHNS357PEJQK63KU7ICX7GMH5E6YPRQ,55000000000000,55000000
AH5NLMPWZPL4DLCK33PH4KZOY5CED2OWR46JPLECS4I5PIR55GNC3GUWU4,52350000000000,52350000
2A2XRMRP3XR5L7LUP5AGZHHRUWJJJ5QXHSRRI74DCIJ6G2ATO26FZNIYH4,51793141000000,51793141
4L4UCO2NDK2UGGW4MHLMJJYYCR6PYUAHJQS775H7GGQCK4Z26EZ7DOMHMU,50000002000000,50000002
GBGP7LPZOMDMQHZZIUZR7SXDMGXXIXEXFKGZ2WPNRQTGJO2I7XDTXMZ4JU,50000001000000,50000001
R7APO2U57IQA4GZCBM235JV3H7QUMOKW3ZRDT7NECSB4TBQB4J5NN6R5Z4,50000000000000,50000000
YEUZBQWVSIYEVXKRGIQRJ25XTRNG454LNVAN3B6AESRHE6UIXCA4XZP3E4,50000000000000,50000000
4UQTDS2M46UT3JL2UDOXFJQFMGR4AVB3TVGLGEQEJKVGMK2P424SH2NUIQ,49999999000000,49999999
MK2Z5BTVQZE6SWXSUPFVOMKTRV7GFP5DR6TLOWXY6AWBOPQ2QROP6VE2IE,49999997000000,49999997
TEI4MPLR7R4RZZVQOYXC54DNM6TRNQJXKAOVXYSAQRLURRUKMHNSQPG3CM,49999996000000,49999996
66UYBBD5LBKCUVMY2I5WWIUFXMI2W2IYFHDTXFDVIYRCATZAHZ7MB2M5DQ,49999995000000,49999995
47ONESQNZUNHCUUVE2EC2VZAJKRKLAG2XT2IIRE4EIFQZJ4BP4DQPW3L2M,49999994000000,49999994
KQ6FVR6PTHMV7QV47LBSR3LVM3EWSNHJPTWQ7GUEFLI2NGKC3RAULQ27K4,48766445076769,48766445.08
DLRY7TLD3KXB4G6IAIW5KGUZEVIDBS2OZ3LR7RFSJD2KEUDKWFXEBPK3HU,48603743023964,48603743.02
WD5EDLJCLRWFIBEUCT43J6QM3LGVNSYXUSMWGUKKUMJBZ65IKQWIAV2LIY,47797631557147,47797631.56
LYKPESAJWNRAV7XADUHBKLADBK47HWKIM4W3K7ICKXXEURMP2AJLYLFDF4,47380178305745,47380178.31
F3ORVOGS5JQ5LYIXBUTIEYRSJMYKJNZJ6ZEEZOMDLCJBDNKSRUN3ERLMF4,45844393000000,45844393
4SOZXGYC5MGZ4S24LX3MHOLYVBZNOHNUN5MP4E5TLX6TXP22BZ6KNN4UQI,45810296000000,45810296
