address,malgo,algo
EPYLSPIP3OOKRBFFWKZJWDSPGCYEKUPYBB677GWC2TFYTMU6QP3JZ7OMOQ,156579386168863,"156,579,386.17"
PZ7TILKNWVGJTAWF7YSBYDHT44SN6NQJXHI55ODGJXGXHGB64BH6MBDGFY,94171278000000,"94,171,278.00"
BSHYYRGWL542KR5AHOSZ3SEROTUJQTBOUGUHU6ZYNOZSJDBHLBCCM2YPE4,92150000000000,"92,150,000.00"
SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA,78261032000000,"78,261,032.00"
WHX7TIJ7Y3D36R5YKPDLOQVCQZZCSY756UZCERM6MTUBXDOQDMMUCYBZXM,77000000000000,"77,000,000.00"
2R5FTTVDIAQ55I5SPW5BE6R2SVYY45O5W64XGIVBLHQYWMZARRXTO4VIHQ,70000000000000,"70,000,000.00"
EDFLHVE46UHWZCP5AVB4LT4HABWGRPFH55SOMTF62HBMJQXW43HM2A6MCM,61791422596226,"61,791,422.60"
IP4VANJXIAUVMKYS3QJZUHG4BC32RWWFQP57IPCNCAL4LAP53XTLM4TPSY,58411186304081,"58,411,186.30"
CBOQNBM6PCBHVGFQV5OJ4LLILJPEHNS357PEJQK63KU7ICX7GMH5E6YPRQ,55000000000000,"55,000,000.00"
AH5NLMPWZPL4DLCK33PH4KZOY5CED2OWR46JPLECS4I5PIR55GNC3GUWU4,52350000000000,"52,350,000.00"
2A2XRMRP3XR5L7LUP5AGZHHRUWJJJ5QXHSRRI74DCIJ6G2ATO26FZNIYH4,51793141000000,"51,793,141.00"
4L4UCO2NDK2UGGW4MHLMJJYYCR6PYUAHJQS775H7GGQCK4Z26EZ7DOMHMU,50000002000000,"50,000,002.00"
GBGP7LPZOMDMQHZZIUZR7SXDMGXXIXEXFKGZ2WPNRQTGJO2I7XDTXMZ4JU,50000001000000,"50,000,001.00"
